ID	A.DNA	E.DNA	I.DNA	A.RNA	E.RNA	I.RNA
p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides	902	878	1512	11	15	9
p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_NA	616	261	507	31	15	10
p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Lachnospiraceae;g_NA	753	489	835	14	3	3
p_Firmicutes;c_Clostridia;o_Eubacteriales;f_NA;g_NA	2990	1942	2470	38	13	13
p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotella	458	111	152	11	2	0
p_Firmicutes;c_Negativicutes;o_Acidaminococcales;f_Acidaminococcaceae;g_Phascolarctobacterium	102	115	34	2	2	0
p_Actinobacteria;c_Actinomycetia;o_Bifidobacteriales;f_Bifidobacteriaceae;g_Bifidobacterium	1986	1403	4143	9	6	4
p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Odoribacteraceae;g_Odoribacter	13	19	10	0	0	0
p_Proteobacteria;c_Deltaproteobacteria;o_Desulfovibrionales;f_Desulfovibrionaceae;g_Bilophila	129	121	191	4	0	5
p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia	21	28	72	0	0	0
p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Oscillospiraceae;g_Ruminococcus	1535	691	1936	13	12	10
p_Firmicutes;c_Negativicutes;o_Veillonellales;f_Veillonellaceae;g_Dialister	65	71	293	0	2	1
p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Lachnospiraceae;g_Butyrivibrio	104	97	8	0	0	0
p_Firmicutes;c_NA;o_NA;f_NA;g_NA	103	72	185	4	0	3
p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus	144	293	72	2	2	0
p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Paraprevotella	107	17	10	1	0	0
p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Oscillospiraceae;g_NA	22	10	22	0	0	0
p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides	183	139	263	19	10	12
p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Lachnospiraceae;g_Blautia	116	79	40	0	1	0
p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Lachnospiraceae;g_Roseburia	42	50	94	4	0	0
p_Firmicutes;c_Clostridia;o_NA;f_NA;g_NA	241	248	411	0	0	0
p_Actinobacteria;c_Coriobacteriia;o_Eggerthellales;f_Eggerthellaceae;g_Eggerthella	16	33	15	0	0	0
p_Verrucomicrobia;c_Verrucomicrobiae;o_Verrucomicrobiales;f_Akkermansiaceae;g_Akkermansia	101	103	406	1	3	1
p_Proteobacteria;c_Deltaproteobacteria;o_Desulfovibrionales;f_Desulfovibrionaceae;g_Desulfovibrio	25	99	15	4	0	0
p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Muribaculaceae;g_Sodaliphilus	4	41	0	0	0	0
p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Phocaeicola	0	11	0	4	0	0
p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_NA	1	4	3	0	0	0
p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Enterobacter	3	7	30	0	0	2
p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_NA;g_NA	3	24	0	1	0	0
p_Firmicutes;c_Negativicutes;o_Veillonellales;f_Veillonellaceae;g_Veillonella	12	30	69	0	0	0
p_NA;c_NA;o_NA;f_NA;g_NA	43	53	57	1	0	0
p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lacticaseibacillus	0	5	27	0	0	0
p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_NA	0	0	39	0	0	0
p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Alistipes	6	0	0	0	0	0
p_Firmicutes;c_Erysipelotrichia;o_Erysipelotrichales;f_NA;g_NA	0	3	0	0	0	3
p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Sutterellaceae;g_Sutterella	0	4	2	0	0	0
p_Verrucomicrobia;c_NA;o_NA;f_NA;g_NA	4	12	0	0	0	0
p_Candidatus Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Candidatus Methanomethylophilaceae;g_NA	0	7	0	0	0	0
p_Proteobacteria;c_Gammaproteobacteria;o_Moraxellales;f_Moraxellaceae;g_Moraxella	0	4	0	0	0	0
p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Clostridiaceae;g_Butyricicoccus	16	25	18	0	0	2
p_Firmicutes;c_Negativicutes;o_Acidaminococcales;f_Acidaminococcaceae;g_Acidaminococcus	3	3	63	0	0	0
p_Proteobacteria;c_NA;o_NA;f_NA;g_NA	8	4	21	1	1	0
p_Euryarchaeota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter	2	2	6	1	2	0
p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Klebsiella	3	0	4	0	0	0
p_Firmicutes;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Oceanobacillus	0	0	10	0	0	0
