ID	A	E	I	DESCRIPTION
p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_NA	31	15	10	p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_NA
p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Lachnospiraceae;g_NA	14	3	3	p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Lachnospiraceae;g_NA
p_Firmicutes;c_Clostridia;o_Eubacteriales;f_NA;g_NA	38	13	13	p_Firmicutes;c_Clostridia;o_Eubacteriales;f_NA;g_NA
p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotella	11	2	0	p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotella
p_Actinobacteria;c_Actinomycetia;o_Bifidobacteriales;f_Bifidobacteriaceae;g_Bifidobacterium	9	6	4	p_Actinobacteria;c_Actinomycetia;o_Bifidobacteriales;f_Bifidobacteriaceae;g_Bifidobacterium
p_Proteobacteria;c_Deltaproteobacteria;o_Desulfovibrionales;f_Desulfovibrionaceae;g_Bilophila	4	0	5	p_Proteobacteria;c_Deltaproteobacteria;o_Desulfovibrionales;f_Desulfovibrionaceae;g_Bilophila
p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Oscillospiraceae;g_Ruminococcus	13	12	10	p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Oscillospiraceae;g_Ruminococcus
p_Firmicutes;c_Negativicutes;o_Veillonellales;f_Veillonellaceae;g_Dialister	0	2	1	p_Firmicutes;c_Negativicutes;o_Veillonellales;f_Veillonellaceae;g_Dialister
p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus	2	2	0	p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus
p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides	11	15	9	p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides
p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Paraprevotella	1	0	0	p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Paraprevotella
p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides	19	10	12	p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides
p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Lachnospiraceae;g_Blautia	0	1	0	p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Lachnospiraceae;g_Blautia
p_Firmicutes;c_NA;o_NA;f_NA;g_NA	4	0	3	p_Firmicutes;c_NA;o_NA;f_NA;g_NA
p_Verrucomicrobia;c_Verrucomicrobiae;o_Verrucomicrobiales;f_Akkermansiaceae;g_Akkermansia	1	3	1	p_Verrucomicrobia;c_Verrucomicrobiae;o_Verrucomicrobiales;f_Akkermansiaceae;g_Akkermansia
p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Phocaeicola	4	0	0	p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Phocaeicola
p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Lachnospiraceae;g_Roseburia	4	0	0	p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Lachnospiraceae;g_Roseburia
p_Firmicutes;c_Negativicutes;o_Acidaminococcales;f_Acidaminococcaceae;g_Phascolarctobacterium	2	2	0	p_Firmicutes;c_Negativicutes;o_Acidaminococcales;f_Acidaminococcaceae;g_Phascolarctobacterium
p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Enterobacter	0	0	2	p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Enterobacter
p_Proteobacteria;c_Deltaproteobacteria;o_Desulfovibrionales;f_Desulfovibrionaceae;g_Desulfovibrio	4	0	0	p_Proteobacteria;c_Deltaproteobacteria;o_Desulfovibrionales;f_Desulfovibrionaceae;g_Desulfovibrio
p_Firmicutes;c_Erysipelotrichia;o_Erysipelotrichales;f_NA;g_NA	0	0	3	p_Firmicutes;c_Erysipelotrichia;o_Erysipelotrichales;f_NA;g_NA
p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_NA;g_NA	1	0	0	p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_NA;g_NA
p_NA;c_NA;o_NA;f_NA;g_NA	1	0	0	p_NA;c_NA;o_NA;f_NA;g_NA
p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Clostridiaceae;g_Butyricicoccus	0	0	2	p_Firmicutes;c_Clostridia;o_Eubacteriales;f_Clostridiaceae;g_Butyricicoccus
p_Proteobacteria;c_NA;o_NA;f_NA;g_NA	1	1	0	p_Proteobacteria;c_NA;o_NA;f_NA;g_NA
p_Euryarchaeota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter	1	2	0	p_Euryarchaeota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter
